Date,Lower Bound,Median,Upper Bound
1.Jul.17,0.718302929,1.47044385,2.275129299
1.Oct.17,0.751701177,1.507720376,2.307970347
1.Jan.18,0.844818418,1.633553166,2.497342852
1.Apr.18,0.905861781,1.695313244,2.578579895
1.Jul.18,0.75712831,1.525001307,2.330434744
1.Oct.18,0.776696599,1.557270607,2.378983508
1.Jan.19,0.899788947,1.679388352,2.517384922
1.Apr.19,1.009112789,1.790902536,2.652185382
1.Jul.19,0.922921321,1.693384671,2.508150747
1.Oct.19,0.44481735,1.252764282,2.007968793
1.Jan.20,0.196756636,1.075260353,1.857327211
1.Apr.20,-2.263622468,-0.416604539,0.859833482
1.Jul.20,1.407115929,2.235018094,3.270869627
1.Oct.20,0.741234012,1.564537474,2.397373693
1.Jan.21,0.606470242,1.452724726,2.308052901
1.Apr.21,0.650376717,1.691017193,2.844634568
1.Jul.21,-0.099454799,1.126756051,2.212648429
1.Oct.21,0.269964739,1.417601923,2.53275196
1.Jan.22,-0.465861644,0.991859798,2.214405726
1.Apr.22,0.080413796,1.313031275,2.450728062
1.Jul.22,1.146988301,2.160370259,3.512757573
1.Oct.22,1.392066874,2.378065675,3.791281494
1.Jan.23,1.420517495,2.406015019,3.824269046
1.Apr.23,1.492797369,2.433997949,3.74812822
1.Jul.23,1.459311899,2.303161868,3.375004397
1.Oct.23,1.460722998,2.317082023,3.379538662
1.Jan.24,1.515572547,2.438552796,3.690823672
1.Apr.24,1.620903442,2.595077887,3.950762412
