Date,AAPL,NVDA,MSFT,GOOG,AMZN,META,AVGO,TSLA,ORCL,NFLX,CRM,AMD,ADBE,CSCO,IBM,NOW,QCOM,TXN,UBER,ISRG
2019-05-10 00:00:00-04:00,47.51946258544922,4.191132068634033,120.578857421875,58.07088851928711,94.4990005493164,187.77464294433594,25.706418991088867,15.968000411987305,50.16378402709961,361.0400085449219,159.2331085205078,27.959999084472656,278.4800109863281,45.03337860107422,100.93462371826172,274.8999938964844,75.34873962402344,97.3026351928711,41.56999969482422,165.10333251953125
2019-05-13 00:00:00-04:00,44.75765609741211,3.933687686920166,116.99364471435547,56.46284103393555,91.13400268554688,180.9950408935547,24.81165885925293,15.133999824523926,49.04393768310547,345.260009765625,152.47311401367188,26.239999771118164,267.70001220703125,43.294830322265625,98.02561950683594,260.1199951171875,73.63705444335938,92.55850219726562,37.099998474121094,159.5833282470703
2019-05-14 00:00:00-04:00,45.46617889404297,4.022812366485596,118.30254364013672,55.8847541809082,92.00599670410156,180.1874542236328,25.540664672851562,15.487333297729492,49.68647384643555,345.6099853515625,157.3713836669922,27.31999969482422,271.8599853515625,43.90248489379883,99.43537902832031,272.07000732421875,75.6032943725586,94.22628784179688,39.959999084472656,162.4499969482422
2019-05-15 00:00:00-04:00,46.010833740234375,3.9617412090301514,119.96849060058594,58.067893981933594,93.55750274658203,185.7108612060547,25.741100311279297,15.463333129882812,50.08118438720703,354.989990234375,154.3746795654297,27.579999923706055,276.82000732421875,44.2569465637207,100.2483901977539,273.9599914550781,75.71739196777344,95.30644989013672,41.290000915527344,163.04666137695312
2019-05-16 00:00:00-04:00,45.80839538574219,3.9768850803375244,122.73876953125,58.804588317871094,95.37850189208984,186.42868041992188,25.142332077026367,15.222000122070312,50.15461730957031,359.30999755859375,157.77955627441406,28.010000228881836,283.54998779296875,47.20233917236328,101.35233306884766,277.9599914550781,72.68904876708984,94.37318420410156,43.0,163.91000366210938
2019-05-17 00:00:00-04:00,45.54813003540039,3.886021375656128,121.92007446289062,57.97262954711914,93.44999694824219,184.74375915527344,24.516496658325195,14.0686674118042,50.0261116027832,354.45001220703125,153.8868408203125,27.5,279.8500061035156,47.55680465698242,100.18871307373047,272.989990234375,71.5391616821289,92.2819595336914,41.90999984741211,163.3800048828125
2019-05-20 00:00:00-04:00,44.12383270263672,3.767352819442749,120.1589126586914,56.803001403808594,92.94850158691406,182.17149353027344,23.05341339111328,13.690667152404785,49.25505828857422,348.1099853515625,155.2906036376953,26.68000030517578,275.45001220703125,47.26985549926758,100.78543090820312,265.0799865722656,67.2555923461914,90.50182342529297,41.59000015258789,161.07333374023438
2019-05-21 00:00:00-04:00,44.96974182128906,3.8495266437530518,120.80622863769531,57.34067916870117,92.8759994506836,184.26519775390625,23.285137176513672,13.67199993133545,49.72318649291992,354.2699890136719,155.09149169921875,27.350000381469727,278.07000732421875,47.70027160644531,101.7774887084961,271.2099914550781,68.24748992919922,92.46342468261719,41.5,161.18666076660156
2019-05-22 00:00:00-04:00,44.049129486083984,3.77852463722229,121.53924560546875,57.429962158203125,92.98400115966797,184.76370239257812,22.768404006958008,12.84866714477539,49.750728607177734,359.7300109863281,156.94326782226562,27.40999984741211,281.82000732421875,46.99980163574219,101.70288848876953,273.3900146484375,60.83899688720703,92.27330780029297,41.25,161.7899932861328
2019-05-23 00:00:00-04:00,43.2972297668457,3.657374143600464,120.12081146240234,56.89876937866211,90.77400207519531,180.32705688476562,21.996265411376953,13.03266716003418,48.72267532348633,352.2099914550781,153.03065490722656,26.360000610351562,274.25,45.733856201171875,98.74913787841797,264.7900085449219,59.91733932495117,91.4523696899414,40.470001220703125,157.92666625976562
2019-05-24 00:00:00-04:00,43.130943298339844,3.6035008430480957,120.17791748046875,56.53466033935547,91.16400146484375,180.5164794921875,21.645288467407227,12.708666801452637,48.43811798095703,354.3900146484375,153.8271026611328,26.440000534057617,274.7699890136719,45.88577651977539,98.6670913696289,268.95001220703125,58.11789321899414,90.7869873046875,41.5099983215332,158.8433380126953
2019-05-28 00:00:00-04:00,42.952606201171875,3.558317184448242,120.1017837524414,56.56857681274414,91.82150268554688,183.75672912597656,21.521812438964844,12.579999923706055,47.50184631347656,355.05999755859375,154.50408935546875,29.049999237060547,278.25,45.514434814453125,97.30956268310547,266.6499938964844,57.380558013916016,89.18831634521484,40.95000076293945,157.07333374023438
2019-05-29 00:00:00-04:00,42.74776077270508,3.4840879440307617,118.94036102294922,55.68624496459961,90.95950317382812,181.64309692382812,21.49137306213379,12.657333374023438,47.44677734375,349.19000244140625,152.21426391601562,28.09000015258789,273.3800048828125,44.88145446777344,96.7352294921875,264.19000244140625,57.72288131713867,90.00062561035156,39.939998626708984,157.30999755859375
2019-05-30 00:00:00-04:00,42.96946716308594,3.457494020462036,119.69242095947266,55.76055908203125,90.81600189208984,182.46063232421875,21.702800750732422,12.54800033569336,47.474308013916016,351.8500061035156,154.97201538085938,28.030000686645508,274.510009765625,45.210609436035156,96.6457290649414,262.6000061035156,58.45144271850586,91.11534881591797,39.79999923706055,159.07333374023438
2019-05-31 00:00:00-04:00,42.19105529785156,3.3667750358581543,117.7408676147461,55.04631423950195,88.75350189208984,176.93727111816406,21.281631469726562,12.343999862670898,46.44625473022461,343.2799987792969,150.74081420898438,27.40999984741211,270.8999938964844,43.910926818847656,94.72129821777344,261.92999267578125,58.65332794189453,90.13887023925781,40.40999984741211,154.9499969482422
